Question,"","","","","","","",1,2,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7
session_ID,Email,First Name,Last Name,Start Time,End Time,Duration,IP Address,What is your gender?,What is your age?,Where were you born?,"","","","","",Please describe if there are other reasons that affect your decision [Optional],"","","","","",Please describe if there are other reasons that affect your decision. [Optional],"","","","","","",Please describe if there are other reasons that affect your decision. [Optional],"","","","","",Please describe if there are other reasons that affect your decision. [Optional]
9855963,"",44013283,"",2012-12-03 17:49:03,2012-12-03 17:52:38,00:03:35,71.14.9.250,Female,36-45,United States,3,1,1,5,1,"",1,3,1,1,5,not interested,2,1,1,1,5,3,the tweet is relevant to my interests,1,1,5,2,1,""
9855964,"",81217994,"",2012-12-03 17:47:50,2012-12-03 17:53:10,00:05:20,84.108.232.194,Male,36-45,France,1,3,1,4,5,I searched for that person and did not land on his/her account randomly,1,2,1,1,5,Indecent material ... self publicity,1,1,1,1,5,1,"",1,4,5,4,1,""
9855965,"",041163631,"",2012-12-03 17:52:49,2012-12-03 17:55:21,00:02:32,67.165.119.235,Male,36-45,Asia,5,2,3,5,1,"",3,5,2,1,1,"",5,2,2,3,5,1,"",3,2,5,1,1,""
9855966,"",919028732,"",2012-12-03 17:48:27,2012-12-03 17:56:30,00:08:03,86.29.142.84,Male,36-45,Other,4,2,2,5,4,Posting interesting tweets on a subject  I am interested in,1,4,1,1,4,Previous Tweets that are interesting,2,1,1,3,5,2,Promoting our company and it's profile,3,1,5,1,1,""
9855967,"",521422372,"",2012-12-03 17:59:55,2012-12-03 18:02:32,00:02:37,24.210.24.148,Male,21-35,United States,3,1,3,5,1,"",2,5,1,4,5,Dont like to follow boring or annoying tweeters.,4,2,1,1,5,5,Most RT is for funny content,1,1,5,1,1,""
9855970,"",803530082,"",2012-12-03 18:30:09,2012-12-03 18:33:22,00:03:13,132.206.226.35,Male,21-35,Other North American Country,2,3,3,4,1,"",2,1,1,1,1,I rarely follow people who are not tweeting in either English or French.,3,2,1,1,4,1,"",3,1,5,1,1,""
9855971,"",404133313,"",2012-12-03 18:54:33,2012-12-03 18:57:44,00:03:11,79.191.196.78,Male,21-35,Other European Country,3,2,4,5,1,"",2,2,2,1,1,"",2,2,2,2,4,1,"",1,1,4,2,1,""
9855972,"",295448542,"",2012-12-03 19:21:52,2012-12-03 19:30:41,00:08:49,82.19.56.93,Male,21-35,Africa,2,2,3,5,1,"",1,1,1,1,5,too verbose! (> 10 tweets a day) or no overlap with personal interests,3,1,1,1,5,1,"",1,1,5,1,5,I dont think the message is interesting enough to warrant a retweet
9855976,"",159595191,"",2012-12-03 19:46:55,2012-12-03 19:51:27,00:04:32,86.18.226.90,Male,36-45,Other,4,3,3,5,5,"",1,5,1,5,2,"",1,1,1,1,5,1,"",1,1,5,1,1,""
9855988,"",22309399,"",2012-12-03 20:42:06,2012-12-03 20:46:22,00:04:16,67.246.37.181,Male,21-35,United States,3,5,2,5,3,Whether the tweet are funny or informative,1,2,1,1,5,Whether the person tweets too frequently or on subjects for which I have no interest,3,4,3,1,5,5,If I like the message and I think it is important to publicize,4,1,5,3,1,""
9856002,"",777210873,"",2012-12-03 22:28:21,2012-12-03 22:31:25,00:03:04,155.52.208.80,Male,21-35,United States,3,4,1,5,1,"",1,4,1,1,1,"",5,1,2,1,5,1,"",5,1,1,1,1,""
9856013,"",14050261,"",2012-12-03 23:55:16,2012-12-03 23:59:02,00:03:46,24.145.168.229,Male,56-65,United States,1,4,1,4,1,"",1,1,2,1,4,Suspicious profile,4,1,1,1,5,1,"",4,1,1,1,1,""
